"Ticker","Open","High","Low","Close","AdjClose","Volume","Timestamp"
"TSLA",23.586666107177,23.699333190917,23.059333801269,23.305999755859,23.305999755859,57526500,"2017-09-05T00:00:00.000000Z"
"NVDA",42.095001220703,42.145000457763,40.889999389648,41.477500915527,41.015914916992,69536400,"2017-09-05T00:00:00.000000Z"
"AMD",12.880000114440,13.180000305175,12.649999618530,12.920000076293,12.920000076293,51445500,"2017-09-05T00:00:00.000000Z"
"AVGO",250.119995117187,252.729995727539,247.020004272460,249.050003051757,201.420822143554,2430600,"2017-09-05T00:00:00.000000Z"
"AMZN",48.770000457763,48.838500976562,48.018501281738,48.263500213623,48.263500213623,57664000,"2017-09-05T00:00:00.000000Z"
"META",171.270004272460,172.389999389648,169.550003051757,170.720001220703,170.720001220703,13210900,"2017-09-05T00:00:00.000000Z"
"GOOGL",47.342998504638,47.569499969482,46.779998779296,47.074001312255,47.074001312255,29148000,"2017-09-05T00:00:00.000000Z"
"AAPL",40.9375,41.0625,40.139999389648,40.520000457763,38.229335784912,117874000,"2017-09-05T00:00:00.000000Z"
"MSFT",73.339996337890,73.889999389648,72.980003356933,73.610000610351,68.505798339843,21556000,"2017-09-05T00:00:00.000000Z"
"TSLA",23.299999237060,23.398666381835,22.770666122436,22.968666076660,22.968666076660,61371000,"2017-09-06T00:00:00.000000Z"
"NVDA",41.810001373291,41.950000762939,41.099998474121,41.452499389648,40.991199493408,39767200,"2017-09-06T00:00:00.000000Z"
"AMD",13.020000457763,13.079999923706,12.75,12.859999656677,12.859999656677,34182400,"2017-09-06T00:00:00.000000Z"
"AVGO",250.610000610351,251.309997558593,247.699996948242,249.380004882812,201.687728881835,1399600,"2017-09-06T00:00:00.000000Z"
"AMZN",48.416000366210,48.591999053955,48.029998779296,48.389999389648,48.389999389648,42598000,"2017-09-06T00:00:00.000000Z"
"META",170.910003662109,172.479995727539,169.570007324218,172.089996337890,172.089996337890,13906300,"2017-09-06T00:00:00.000000Z"
"GOOGL",47.193500518798,47.224998474121,46.633998870849,47.101001739501,47.101001739501,27830000,"2017-09-06T00:00:00.000000Z"
"AAPL",40.677501678466,40.747501373291,40.130001068115,40.477500915527,38.189235687255,86606800,"2017-09-06T00:00:00.000000Z"
"MSFT",73.739997863769,74.040000915527,73.349998474121,73.400001525878,68.310356140136,16535800,"2017-09-06T00:00:00.000000Z"
"TSLA",23.065332412719,23.498666763305,22.896667480468,23.374000549316,23.374000549316,63588000,"2017-09-07T00:00:00.000000Z"
"NVDA",41.622501373291,41.972499847412,41.237499237060,41.645000457763,41.181556701660,35286800,"2017-09-07T00:00:00.000000Z"
"AMD",12.840000152587,12.939999580383,12.600000381469,12.630000114440,12.630000114440,35816900,"2017-09-07T00:00:00.000000Z"
"AVGO",249.789993286132,250.0,246.130004882812,246.550003051757,199.398971557617,1608800,"2017-09-07T00:00:00.000000Z"
"AMZN",48.700000762939,49.029499053955,48.627498626708,48.973499298095,48.973499298095,51336000,"2017-09-07T00:00:00.000000Z"
"META",171.940002441406,173.309997558593,170.270004272460,173.210006713867,173.210006713867,18049500,"2017-09-07T00:00:00.000000Z"
"GOOGL",47.212501525878,47.525001525878,46.876499176025,47.494499206542,47.494499206542,22332000,"2017-09-07T00:00:00.000000Z"
"AAPL",40.522499084472,40.560001373291,40.090000152587,40.314998626708,38.035930633544,87714000,"2017-09-07T00:00:00.000000Z"
"MSFT",73.680000305175,74.599998474121,73.599998474121,74.339996337890,69.185180664062,17471200,"2017-09-07T00:00:00.000000Z"
"TSLA",23.266000747680,23.318666458129,22.819999694824,22.893333435058,22.893333435058,48952500,"2017-09-08T00:00:00.000000Z"
"NVDA",41.527500152587,41.677501678466,40.677501678466,40.922500610351,40.467098236083,49885600,"2017-09-08T00:00:00.000000Z"
"AMD",12.569999694824,12.609999656677,12.039999961853,12.25,12.25,60886200,"2017-09-08T00:00:00.000000Z"
"AVGO",245.919998168945,246.399993896484,243.100006103515,244.110000610351,197.425598144531,1809400,"2017-09-08T00:00:00.000000Z"
"AMZN",48.955001831054,48.993999481201,48.173500061035,48.294998168945,48.294998168945,52106000,"2017-09-08T00:00:00.000000Z"
"META",173.089996337890,173.490005493164,170.800003051757,170.949996948242,170.949996948242,10998500,"2017-09-08T00:00:00.000000Z"
"GOOGL",47.485000610351,47.534999847412,47.000499725341,47.070499420166,47.070499420166,19998000,"2017-09-08T00:00:00.000000Z"
"AAPL",40.215000152587,40.287498474121,39.632499694824,39.657501220703,37.415596008300,114446000,"2017-09-08T00:00:00.000000Z"
"MSFT",74.330001831054,74.440002441406,73.839996337890,73.980003356933,68.850143432617,14703800,"2017-09-08T00:00:00.000000Z"
"TSLA",23.423332214355,24.247333526611,23.333332061767,24.246000289916,24.246000289916,115006500,"2017-09-11T00:00:00.000000Z"
"NVDA",41.384998321533,42.357498168945,41.330001831054,42.25,41.779819488525,56744400,"2017-09-11T00:00:00.000000Z"
"AMD",12.460000038146,12.739999771118,12.399999618530,12.550000190734,12.550000190734,43346100,"2017-09-11T00:00:00.000000Z"
"AVGO",247.080001831054,248.240005493164,246.009994506835,247.740005493164,200.361404418945,1687800,"2017-09-11T00:00:00.000000Z"
